Ship_Mode,Segment,State,Region,Category,Sub_Category,Sales,Discount,Profit,Discount_%
First Class,Corporate,Pennsylvania,East,Furniture,Furnishings,51.968,0.2,10.3936,0.1-0.4%
First Class,Corporate,Pennsylvania,East,Office Supplies,Storage,51.336,0.2,5.7753,0.1-0.4%
First Class,Corporate,Pennsylvania,East,Office Supplies,Storage,332.704,0.2,33.2704,0.1-0.4%
First Class,Corporate,Pennsylvania,East,Furniture,Furnishings,42.408,0.2,9.5418,0.1-0.4%
Second Class,Consumer,Oklahoma,Central,Office Supplies,Envelopes,81.54,0,38.3238,0%
Second Class,Consumer,Oklahoma,Central,Technology,Accessories,167.28,0,23.4192,0%
Standard Class,Consumer,California,West,Office Supplies,Storage,772.68,0,108.1752,0%
First Class,Corporate,Florida,South,Technology,Phones,323.976,0.2,28.3479,0.1-0.4%
First Class,Corporate,Florida,South,Office Supplies,Labels,11.808,0.2,3.9852,0.1-0.4%
First Class,Corporate,Florida,South,Office Supplies,Storage,26.16,0.2,1.962,0.1-0.4%
First Class,Corporate,Florida,South,Office Supplies,Binders,33.57,0.7,-25.737,0.5-0.8%
First Class,Corporate,Florida,South,Furniture,Furnishings,4.992,0.2,1.3728,0.1-0.4%
First Class,Corporate,Florida,South,Furniture,Furnishings,20.016,0.2,5.5044,0.1-0.4%
First Class,Corporate,Florida,South,Technology,Accessories,170.24,0.2,53.2,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Paper,117.456,0.2,44.046,0.1-0.4%
Second Class,Corporate,California,West,Office Supplies,Paper,22.96,0,11.2504,0%
Second Class,Consumer,Virginia,South,Office Supplies,Paper,13.36,0,6.4128,0%
Second Class,Corporate,New York,East,Office Supplies,Binders,34.248,0.2,11.5587,0.1-0.4%
Second Class,Corporate,New York,East,Office Supplies,Art,3.52,0,1.0208,0%
Standard Class,Home Office,Missouri,Central,Office Supplies,Binders,26.7,0,12.549,0%
Standard Class,Home Office,Missouri,Central,Technology,Accessories,21.2,0,9.116,0%
Standard Class,Home Office,Missouri,Central,Office Supplies,Storage,838.38,0,226.3626,0%
Standard Class,Consumer,South Carolina,South,Furniture,Chairs,1690.04,0,422.51,0%
Standard Class,Consumer,South Carolina,South,Office Supplies,Storage,85.96,0,24.0688,0%
Standard Class,Consumer,South Carolina,South,Office Supplies,Envelopes,121.96,0,57.3212,0%
Standard Class,Consumer,South Carolina,South,Office Supplies,Paper,23.92,0,11.7208,0%
Standard Class,Consumer,South Carolina,South,Office Supplies,Storage,63.96,0,6.396,0%
Standard Class,Consumer,South Carolina,South,Technology,Phones,629.95,0,176.386,0%
Standard Class,Consumer,South Carolina,South,Technology,Phones,113.73,0,32.9817,0%
Standard Class,Consumer,South Carolina,South,Office Supplies,Binders,14.6,0,6.862,0%
Standard Class,Consumer,South Carolina,South,Office Supplies,Storage,887.84,0,17.7568,0%
First Class,Home Office,Oregon,West,Furniture,Chairs,403.92,0.2,25.245,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Art,106.8,0.2,10.68,0.1-0.4%
First Class,Corporate,New York,East,Office Supplies,Storage,70.95,0,20.5755,0%
First Class,Corporate,New York,East,Office Supplies,Binders,34.944,0.2,11.7936,0.1-0.4%
First Class,Corporate,New York,East,Office Supplies,Art,119.04,0,35.712,0%
Standard Class,Consumer,Illinois,Central,Technology,Phones,383.84,0.2,47.98,0.1-0.4%
Standard Class,Consumer,New York,East,Furniture,Furnishings,799.56,0,207.8856,0%
Same Day,Consumer,Washington,West,Office Supplies,Storage,31.44,0,8.4888,0%
Standard Class,Consumer,Texas,Central,Office Supplies,Paper,25.92,0.2,9.072,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Binders,6.33,0.8,-9.8115,0.5-0.8%
Standard Class,Consumer,Texas,Central,Office Supplies,Paper,75.88,0.2,26.558,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Technology,Phones,329.988,0.4,-76.9972,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Storage,71.376,0.2,-4.461,0.1-0.4%
Standard Class,Consumer,Indiana,Central,Office Supplies,Paper,63.77,0,28.6965,0%
Standard Class,Consumer,Indiana,Central,Technology,Phones,50.97,0,13.2522,0%
Standard Class,Consumer,Indiana,Central,Office Supplies,Paper,96.08,0,46.1184,0%
Standard Class,Consumer,Illinois,Central,Technology,Copiers,1439.968,0.2,485.9892,0.1-0.4%
Standard Class,Consumer,Illinois,Central,Technology,Accessories,43.56,0.2,-4.9005,0.1-0.4%
Standard Class,Consumer,California,West,Furniture,Chairs,563.92,0.2,7.049,0.1-0.4%
Standard Class,Consumer,Ohio,East,Technology,Phones,235.152,0.4,-47.0304,0.1-0.4%
First Class,Home Office,Ohio,East,Furniture,Furnishings,7.712,0.2,1.7352,0.1-0.4%
Second Class,Consumer,Texas,Central,Office Supplies,Paper,51.016,0.2,15.9425,0.1-0.4%
Second Class,Consumer,Texas,Central,Office Supplies,Fasteners,25.248,0.2,7.89,0.1-0.4%
Second Class,Consumer,Texas,Central,Furniture,Chairs,56.686,0.3,-14.5764,0.1-0.4%
Standard Class,Corporate,Ohio,East,Office Supplies,Storage,51.168,0.2,-6.396,0.1-0.4%
Standard Class,Corporate,Washington,West,Office Supplies,Binders,2793.528,0.2,942.8157,0.1-0.4%
Standard Class,Corporate,Washington,West,Office Supplies,Storage,1000.02,0,290.0058,0%
Standard Class,Corporate,Washington,West,Furniture,Furnishings,65.94,0,22.4196,0%
Second Class,Consumer,Washington,West,Office Supplies,Fasteners,18.24,0,9.12,0%
Second Class,Consumer,Washington,West,Office Supplies,Appliances,76.12,0,22.0748,0%
Standard Class,Consumer,California,West,Office Supplies,Envelopes,7.64,0,3.7436,0%
Standard Class,Corporate,New York,East,Furniture,Furnishings,68.16,0,27.9456,0%
Standard Class,Corporate,New York,East,Office Supplies,Envelopes,62.24,0,29.2528,0%
Standard Class,Consumer,Kentucky,South,Technology,Phones,29.97,0,0.2997,0%
Standard Class,Consumer,Michigan,Central,Technology,Phones,125.7,0,35.196,0%
Standard Class,Consumer,Michigan,Central,Technology,Phones,191.98,0,51.8346,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,20.86,0,1.4602,0%
Second Class,Consumer,California,West,Office Supplies,Labels,56.7,0,26.082,0%
Standard Class,Consumer,Tennessee,South,Furniture,Furnishings,72.704,0.2,19.0848,0.1-0.4%
Standard Class,Consumer,Tennessee,South,Office Supplies,Art,12.264,0.2,1.0731,0.1-0.4%
Standard Class,Consumer,Tennessee,South,Office Supplies,Storage,218.352,0.2,-54.588,0.1-0.4%
Standard Class,Consumer,Oregon,West,Furniture,Bookcases,66.294,0.7,-103.8606,0.5-0.8%
Standard Class,Consumer,Oregon,West,Furniture,Chairs,291.168,0.2,-14.5584,0.1-0.4%
Standard Class,Consumer,Texas,Central,Technology,Phones,88.776,0.2,7.7679,0.1-0.4%
Standard Class,Home Office,Ohio,East,Technology,Phones,110.376,0.4,-20.2356,0.1-0.4%
Standard Class,Home Office,Ohio,East,Technology,Accessories,55.176,0.2,15.8631,0.1-0.4%
Standard Class,Consumer,Iowa,Central,Office Supplies,Art,30.32,0,11.8248,0%
Same Day,Consumer,Washington,West,Furniture,Chairs,177.568,0.2,8.8784,0.1-0.4%
Same Day,Consumer,Washington,West,Office Supplies,Paper,19.44,0,9.3312,0%
Same Day,Consumer,Washington,West,Office Supplies,Paper,71.28,0,34.2144,0%
Same Day,Consumer,Washington,West,Office Supplies,Binders,1471.96,0.2,459.9875,0.1-0.4%
Same Day,Consumer,Washington,West,Technology,Phones,79.96,0.2,-17.991,0.1-0.4%
Standard Class,Corporate,Pennsylvania,East,Office Supplies,Envelopes,57.576,0.2,21.591,0.1-0.4%
Standard Class,Consumer,New York,East,Office Supplies,Binders,26.336,0.2,9.2176,0.1-0.4%
Standard Class,Consumer,California,West,Furniture,Furnishings,166.5,0,21.645,0%
Standard Class,Consumer,California,West,Office Supplies,Storage,360.38,0,93.6988,0%
Second Class,Consumer,California,West,Office Supplies,Binders,11.744,0.2,3.8168,0.1-0.4%
Second Class,Corporate,New Hampshire,East,Furniture,Furnishings,247.44,0,101.4504,0%
Standard Class,Home Office,Tennessee,South,Office Supplies,Binders,18.24,0.7,-14.592,0.5-0.8%
Standard Class,Home Office,Washington,West,Office Supplies,Supplies,25.35,0,7.605,0%
Standard Class,Home Office,Washington,West,Office Supplies,Art,119.04,0,30.9504,0%
Standard Class,Home Office,Washington,West,Furniture,Furnishings,22.14,0,6.4206,0%
Standard Class,Home Office,Washington,West,Technology,Accessories,13.98,0,6.0114,0%
Standard Class,Consumer,Indiana,Central,Office Supplies,Binders,43.41,0,19.9686,0%
Standard Class,Consumer,Indiana,Central,Furniture,Furnishings,6.24,0,2.6208,0%
Standard Class,Consumer,Indiana,Central,Office Supplies,Appliances,465.16,0,120.9416,0%
Standard Class,Consumer,Indiana,Central,Office Supplies,Paper,7.98,0,3.99,0%
First Class,Consumer,Illinois,Central,Office Supplies,Appliances,2.394,0.8,-6.3441,0.5-0.8%
Same Day,Home Office,Georgia,South,Office Supplies,Paper,58.32,0,27.9936,0%
Same Day,Home Office,Georgia,South,Technology,Phones,200.97,0,50.2425,0%
Standard Class,Corporate,Alabama,South,Furniture,Furnishings,21.36,0,8.1168,0%
Standard Class,Corporate,Texas,Central,Office Supplies,Labels,9.856,0.2,3.4496,0.1-0.4%
Second Class,Home Office,Florida,South,Office Supplies,Binders,3.444,0.7,-2.5256,0.5-0.8%
Second Class,Corporate,Ohio,East,Office Supplies,Supplies,384.592,0.2,-81.7258,0.1-0.4%
Second Class,Consumer,New York,East,Office Supplies,Envelopes,22.92,0,11.2308,0%
Second Class,Consumer,Indiana,Central,Office Supplies,Binders,11.36,0,5.5664,0%
Standard Class,Consumer,Washington,West,Office Supplies,Binders,14.592,0.2,4.9248,0.1-0.4%
Standard Class,Corporate,New York,East,Office Supplies,Labels,41.4,0,19.872,0%
First Class,Corporate,Illinois,Central,Office Supplies,Binders,442.372,0.8,-729.9138,0.5-0.8%
Standard Class,Corporate,Georgia,South,Office Supplies,Binders,34.5,0,15.525,0%
Same Day,Consumer,Oklahoma,Central,Office Supplies,Binders,28.85,0,14.425,0%
Standard Class,Consumer,Tennessee,South,Office Supplies,Paper,3.488,0.2,1.1772,0.1-0.4%
Standard Class,Consumer,Tennessee,South,Office Supplies,Paper,143.856,0.2,48.5514,0.1-0.4%
Second Class,Home Office,Massachusetts,East,Technology,Phones,311.98,0,93.594,0%
Second Class,Home Office,Massachusetts,East,Office Supplies,Binders,22.45,0,10.327,0%
Standard Class,Corporate,California,West,Technology,Phones,39.992,0.2,-7.9984,0.1-0.4%
Standard Class,Corporate,California,West,Furniture,Chairs,1159.056,0.2,43.4646,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Art,179.9,0,44.975,0%
First Class,Corporate,Illinois,Central,Technology,Accessories,116.312,0.2,23.2624,0.1-0.4%
Second Class,Consumer,Washington,West,Furniture,Furnishings,12.42,0,4.4712,0%
Second Class,Consumer,Washington,West,Technology,Accessories,428.4,0,89.964,0%
Second Class,Consumer,Washington,West,Furniture,Furnishings,24.75,0,10.89,0%
Second Class,Consumer,Washington,West,Office Supplies,Labels,87.71,0,41.2237,0%
Second Class,Consumer,Washington,West,Office Supplies,Storage,69.52,0,17.38,0%
Second Class,Consumer,Washington,West,Technology,Phones,20.784,0.2,-4.6764,0.1-0.4%
Second Class,Consumer,Washington,West,Office Supplies,Binders,12.816,0.2,4.1652,0.1-0.4%
Standard Class,Consumer,Ohio,East,Office Supplies,Labels,5.904,0.2,1.9926,0.1-0.4%
Standard Class,Consumer,Ohio,East,Furniture,Furnishings,63.824,0.2,9.5736,0.1-0.4%
Standard Class,Consumer,Ohio,East,Office Supplies,Storage,141.552,0.2,-26.541,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Envelopes,304.9,0,143.303,0%
Standard Class,Corporate,California,West,Furniture,Chairs,563.24,0.2,56.324,0.1-0.4%
Standard Class,Corporate,Ohio,East,Furniture,Tables,661.176,0.4,-231.4116,0.1-0.4%
Standard Class,Home Office,Tennessee,South,Technology,Phones,239.976,0.2,17.9982,0.1-0.4%
Standard Class,Corporate,California,West,Furniture,Tables,502.488,0.2,-87.9354,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Binders,196.704,0.2,68.8464,0.1-0.4%
Second Class,Home Office,California,West,Furniture,Chairs,915.136,0.2,102.9528,0.1-0.4%
Second Class,Home Office,California,West,Furniture,Furnishings,327.76,0,91.7728,0%
First Class,Consumer,Virginia,South,Furniture,Chairs,701.96,0,168.4704,0%
Standard Class,Consumer,California,West,Technology,Phones,88.776,0.2,7.7679,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Art,64.14,0,16.6764,0%
First Class,Corporate,New York,East,Office Supplies,Binders,33.552,0.2,12.582,0.1-0.4%
Standard Class,Corporate,Massachusetts,East,Office Supplies,Appliances,1737.18,0,503.7822,0%
Standard Class,Corporate,Massachusetts,East,Office Supplies,Storage,704.25,0,84.51,0%
Standard Class,Corporate,Massachusetts,East,Office Supplies,Paper,141.76,0,66.6272,0%
Standard Class,Corporate,California,West,Office Supplies,Binders,36.36,0.2,12.2715,0.1-0.4%
First Class,Home Office,California,West,Furniture,Furnishings,25.83,0,9.5571,0%
Standard Class,Consumer,Illinois,Central,Office Supplies,Binders,24.588,0.8,-38.1114,0.5-0.8%
Standard Class,Consumer,Illinois,Central,Office Supplies,Envelopes,13.984,0.2,4.7196,0.1-0.4%
Standard Class,Consumer,Texas,Central,Technology,Phones,195.96,0.2,19.596,0.1-0.4%
Second Class,Home Office,Texas,Central,Office Supplies,Paper,74.352,0.2,23.235,0.1-0.4%
Same Day,Consumer,New York,East,Office Supplies,Paper,6.68,0,3.2064,0%
Second Class,Corporate,Oregon,West,Office Supplies,Supplies,17.584,0.2,-4.1762,0.1-0.4%
Second Class,Corporate,Oregon,West,Furniture,Chairs,104.784,0.2,-14.4078,0.1-0.4%
Second Class,Corporate,Oregon,West,Office Supplies,Paper,47.952,0.2,16.7832,0.1-0.4%
Second Class,Corporate,Oregon,West,Furniture,Chairs,650.352,0.2,-97.5528,0.1-0.4%
Second Class,Corporate,Oregon,West,Office Supplies,Labels,629.184,0.2,228.0792,0.1-0.4%
Second Class,Corporate,Oregon,West,Office Supplies,Paper,15.176,0.2,5.3116,0.1-0.4%
Standard Class,Consumer,California,West,Furniture,Furnishings,127.95,0,21.7515,0%
Standard Class,Corporate,Connecticut,East,Office Supplies,Storage,579.51,0,81.1314,0%
Standard Class,Corporate,Connecticut,East,Technology,Phones,14.99,0,7.3451,0%
Standard Class,Corporate,Michigan,Central,Office Supplies,Art,151.92,0,45.576,0%
Standard Class,Corporate,Michigan,Central,Office Supplies,Labels,196.62,0,96.3438,0%
Standard Class,Corporate,Michigan,Central,Office Supplies,Paper,144.12,0,69.1776,0%
Standard Class,Corporate,Michigan,Central,Office Supplies,Paper,15.96,0,7.98,0%
Second Class,Corporate,California,West,Technology,Phones,39.96,0.2,3.4965,0.1-0.4%
Second Class,Corporate,California,West,Office Supplies,Paper,34.08,0,15.336,0%
Standard Class,Corporate,Florida,South,Office Supplies,Paper,10.368,0.2,3.6288,0.1-0.4%
Standard Class,Corporate,New York,East,Office Supplies,Binders,7.752,0.2,2.8101,0.1-0.4%
Second Class,Home Office,Michigan,Central,Office Supplies,Envelopes,15.28,0,7.4872,0%
Standard Class,Consumer,Delaware,East,Technology,Machines,65.97,0,31.0059,0%
Standard Class,Corporate,California,West,Office Supplies,Paper,33.4,0,16.032,0%
Standard Class,Corporate,California,West,Office Supplies,Envelopes,210.84,0,103.3116,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,13.98,0,4.0542,0%
Standard Class,Consumer,Michigan,Central,Furniture,Furnishings,272.94,0,30.0234,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Binders,19.05,0,8.9535,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Appliances,247.716,0.1,93.5816,0.1-0.4%
Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,66.58,0,15.9792,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Art,43.92,0,12.7368,0%
Standard Class,Consumer,Michigan,Central,Furniture,Furnishings,14.73,0,4.8609,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Binders,29.7,0,13.365,0%
Standard Class,Consumer,New York,East,Office Supplies,Paper,49.12,0,23.0864,0%
Standard Class,Consumer,New York,East,Office Supplies,Binders,18.28,0.2,6.398,0.1-0.4%
Standard Class,Consumer,California,West,Furniture,Furnishings,47.04,0,15.9936,0%
Standard Class,Consumer,California,West,Technology,Phones,339.96,0.2,42.495,0.1-0.4%
Standard Class,Corporate,New York,East,Technology,Phones,87.8,0,43.9,0%
Standard Class,Corporate,New York,East,Furniture,Chairs,221.382,0.1,2.4598,0.1-0.4%
Standard Class,Corporate,New York,East,Technology,Machines,5199.96,0,1351.9896,0%
First Class,Consumer,Ohio,East,Office Supplies,Storage,156.512,0.2,-35.2152,0.1-0.4%
First Class,Home Office,Delaware,East,Technology,Accessories,119.85,0,52.734,0%
First Class,Home Office,Delaware,East,Office Supplies,Binders,30.44,0,14.9156,0%
First Class,Home Office,Delaware,East,Office Supplies,Binders,69.28,0,33.2544,0%
First Class,Home Office,Delaware,East,Technology,Phones,587.97,0,170.5113,0%
Same Day,Home Office,New York,East,Office Supplies,Labels,24.55,0,12.0295,0%
Standard Class,Consumer,California,West,Office Supplies,Binders,12.176,0.2,4.4138,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Storage,37.32,0,10.4496,0%
Standard Class,Consumer,California,West,Office Supplies,Supplies,35.06,0,10.518,0%
Standard Class,Consumer,Texas,Central,Furniture,Furnishings,108.4,0.6,-105.69,0.5-0.8%
Standard Class,Corporate,Florida,South,Technology,Phones,361.376,0.2,27.1032,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,2.412,0.7,-2.01,0.5-0.8%
Standard Class,Corporate,New York,East,Office Supplies,Appliances,8.39,0,2.0975,0%
Standard Class,Corporate,New York,East,Technology,Phones,337.98,0,101.394,0%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Storage,83.92,0.2,-13.637,0.1-0.4%
Standard Class,Corporate,Washington,West,Office Supplies,Binders,19.68,0.2,6.888,0.1-0.4%
Standard Class,Corporate,Washington,West,Office Supplies,Paper,25.92,0,12.4416,0%
Standard Class,Corporate,Washington,West,Office Supplies,Paper,6.48,0,3.1104,0%
Standard Class,Corporate,Washington,West,Technology,Phones,86.352,0.2,8.6352,0.1-0.4%
Standard Class,Home Office,California,West,Office Supplies,Art,56.3,0,15.764,0%
Standard Class,Consumer,Oregon,West,Office Supplies,Art,51.016,0.2,8.2901,0.1-0.4%
Standard Class,Consumer,Washington,West,Office Supplies,Binders,150.8,0.2,56.55,0.1-0.4%
Standard Class,Consumer,Washington,West,Technology,Machines,1039.992,0.2,103.9992,0.1-0.4%
Standard Class,Consumer,Washington,West,Office Supplies,Paper,51.84,0,24.8832,0%
First Class,Home Office,New York,East,Technology,Phones,41.22,0,11.1294,0%
First Class,Home Office,New York,East,Office Supplies,Supplies,240.37,0,7.2111,0%
First Class,Home Office,New York,East,Technology,Phones,119.02,0,33.3256,0%
Standard Class,Consumer,California,West,Office Supplies,Binders,133.12,0.2,49.92,0.1-0.4%
Standard Class,Corporate,Texas,Central,Furniture,Furnishings,38.08,0.6,-29.512,0.5-0.8%
Same Day,Home Office,New York,East,Furniture,Bookcases,113.568,0.2,12.7764,0.1-0.4%
Second Class,Home Office,New York,East,Furniture,Furnishings,83.92,0,21.8192,0%
Second Class,Home Office,New York,East,Office Supplies,Art,6.63,0,3.1161,0%
Second Class,Home Office,New York,East,Technology,Accessories,371.97,0,66.9546,0%
Standard Class,Corporate,Tennessee,South,Furniture,Chairs,561.584,0.2,70.198,0.1-0.4%
Standard Class,Corporate,Tennessee,South,Office Supplies,Storage,99.92,0.2,-1.249,0.1-0.4%
First Class,Home Office,Pennsylvania,East,Office Supplies,Labels,4.928,0.2,1.7248,0.1-0.4%
Standard Class,Consumer,California,West,Furniture,Furnishings,14.76,0,4.2804,0%
Standard Class,Home Office,Connecticut,East,Technology,Accessories,99.99,0,41.9958,0%
Standard Class,Home Office,Connecticut,East,Office Supplies,Storage,286.15,0,71.5375,0%
Standard Class,Home Office,Arizona,West,Office Supplies,Fasteners,49.792,0.2,-11.8256,0.1-0.4%
Standard Class,Consumer,Ohio,East,Furniture,Bookcases,299.975,0.5,-167.986,0.5-0.8%
Standard Class,Consumer,Ohio,East,Technology,Phones,158.376,0.4,-36.9544,0.1-0.4%
First Class,Consumer,Texas,Central,Office Supplies,Binders,32.784,0.8,-52.4544,0.5-0.8%
First Class,Consumer,Texas,Central,Technology,Accessories,47.984,0.2,14.3952,0.1-0.4%
First Class,Consumer,Texas,Central,Technology,Accessories,62.592,0.2,13.3008,0.1-0.4%
First Class,Consumer,Texas,Central,Office Supplies,Binders,4.276,0.8,-6.6278,0.5-0.8%
Standard Class,Consumer,Michigan,Central,Office Supplies,Paper,10.56,0,4.752,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,229.94,0,6.8982,0%
Standard Class,Corporate,Virginia,South,Office Supplies,Envelopes,311.15,0,146.2405,0%
Standard Class,Corporate,Virginia,South,Office Supplies,Paper,12.96,0,6.3504,0%
Standard Class,Consumer,New York,East,Office Supplies,Paper,14.62,0,6.7252,0%
Standard Class,Consumer,New York,East,Office Supplies,Labels,5.76,0,2.8224,0%
Standard Class,Consumer,New York,East,Office Supplies,Fasteners,21.48,0,10.5252,0%
Standard Class,Consumer,New York,East,Furniture,Furnishings,396.92,0,198.46,0%
Standard Class,Consumer,New York,East,Office Supplies,Storage,17.15,0,4.6305,0%
Standard Class,Consumer,New York,East,Office Supplies,Binders,23.12,0.2,7.803,0.1-0.4%
Standard Class,Home Office,Texas,Central,Office Supplies,Art,5.248,0.2,0.5904,0.1-0.4%
Standard Class,Home Office,New Hampshire,East,Technology,Phones,824.95,0,247.485,0%
Standard Class,Home Office,New Hampshire,East,Office Supplies,Labels,24.64,0,11.8272,0%
Standard Class,Home Office,New Hampshire,East,Office Supplies,Art,227.88,0,68.364,0%
First Class,Consumer,Louisiana,South,Furniture,Bookcases,241.96,0,33.8744,0%
First Class,Consumer,Louisiana,South,Office Supplies,Binders,3.89,0,1.8672,0%
First Class,Consumer,Louisiana,South,Furniture,Furnishings,8.01,0,3.0438,0%
Standard Class,Consumer,North Carolina,South,Technology,Phones,177.48,0.2,19.9665,0.1-0.4%
Second Class,Corporate,Washington,West,Furniture,Chairs,569.568,0.2,7.1196,0.1-0.4%
Second Class,Corporate,Washington,West,Office Supplies,Storage,149.73,0,43.4217,0%
First Class,Consumer,Texas,Central,Furniture,Chairs,899.43,0.3,-12.849,0.1-0.4%
First Class,Consumer,Texas,Central,Office Supplies,Art,46.2,0.2,5.775,0.1-0.4%
First Class,Consumer,Texas,Central,Office Supplies,Paper,47.952,0.2,16.1838,0.1-0.4%
First Class,Consumer,Texas,Central,Technology,Phones,7.992,0.2,0.6993,0.1-0.4%
First Class,Consumer,Texas,Central,Office Supplies,Paper,76.864,0.2,26.9024,0.1-0.4%
Standard Class,Home Office,Kentucky,South,Office Supplies,Binders,102.93,0,48.3771,0%
Standard Class,Home Office,Kentucky,South,Technology,Accessories,98.16,0,9.816,0%
Second Class,Home Office,Florida,South,Office Supplies,Binders,11.52,0.7,-7.68,0.5-0.8%
Same Day,Corporate,Arizona,West,Office Supplies,Paper,83.88,0.2,29.358,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Technology,Phones,108.576,0.4,-25.3344,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Fasteners,5.984,0.2,-1.3464,0.1-0.4%
Standard Class,Corporate,Oklahoma,Central,Office Supplies,Supplies,21.96,0,6.1488,0%
Standard Class,Corporate,Oklahoma,Central,Furniture,Chairs,368.97,0,81.1734,0%
Standard Class,Corporate,Oklahoma,Central,Office Supplies,Art,12.39,0,3.4692,0%
Standard Class,Corporate,Oklahoma,Central,Office Supplies,Storage,332.94,0,9.9882,0%
Standard Class,Corporate,Utah,West,Technology,Accessories,111.93,0,34.6983,0%
First Class,Home Office,California,West,Furniture,Chairs,454.272,0.2,-73.8192,0.1-0.4%
Standard Class,Consumer,Massachusetts,East,Office Supplies,Paper,19.44,0,9.3312,0%
Standard Class,Consumer,Pennsylvania,East,Technology,Copiers,8399.976,0.4,1119.9968,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,6.294,0.7,-4.196,0.5-0.8%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Paper,10.368,0.2,3.6288,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Technology,Phones,122.382,0.4,-24.4764,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Office Supplies,Storage,25.984,0.2,-1.624,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Furniture,Tables,945.036,0.4,-299.2614,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Office Supplies,Binders,14.301,0.7,-10.4874,0.5-0.8%
Standard Class,Consumer,North Carolina,South,Furniture,Furnishings,410.352,0.2,-51.294,0.1-0.4%
Standard Class,Corporate,Illinois,Central,Office Supplies,Paper,23.52,0.2,8.526,0.1-0.4%
Standard Class,Corporate,Illinois,Central,Technology,Phones,180.96,0.2,13.572,0.1-0.4%
First Class,Consumer,Idaho,West,Furniture,Furnishings,35,0,14.7,0%
First Class,Consumer,Idaho,West,Office Supplies,Storage,477.15,0,28.629,0%
First Class,Consumer,Idaho,West,Technology,Phones,302.376,0.2,22.6782,0.1-0.4%
Standard Class,Consumer,Texas,Central,Furniture,Tables,974.988,0.3,-97.4988,0.1-0.4%
First Class,Consumer,New York,East,Furniture,Chairs,589.41,0.1,-6.549,0.1-0.4%
Standard Class,Corporate,New York,East,Office Supplies,Art,34.7,0,12.492,0%
Standard Class,Corporate,New York,East,Office Supplies,Storage,99.87,0,23.9688,0%
Standard Class,Corporate,New York,East,Office Supplies,Paper,37.94,0,18.2112,0%
Standard Class,Corporate,New York,East,Office Supplies,Labels,24.9,0,11.454,0%
Standard Class,Corporate,New York,East,Furniture,Furnishings,82.26,0,33.7266,0%
Standard Class,Consumer,Illinois,Central,Office Supplies,Fasteners,7.104,0.2,2.4864,0.1-0.4%
Second Class,Home Office,Texas,Central,Furniture,Furnishings,103.5,0.6,-77.625,0.5-0.8%
Second Class,Home Office,Texas,Central,Office Supplies,Labels,2.464,0.2,0.8624,0.1-0.4%
Second Class,Home Office,Texas,Central,Office Supplies,Storage,8.72,0.2,0.654,0.1-0.4%
Standard Class,Consumer,Connecticut,East,Office Supplies,Binders,10.76,0,5.1648,0%
Standard Class,Consumer,Connecticut,East,Office Supplies,Paper,45.68,0,21.0128,0%
Standard Class,Consumer,Connecticut,East,Office Supplies,Art,6.7,0,2.211,0%
Second Class,Consumer,Illinois,Central,Technology,Phones,158.376,0.2,13.8579,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Art,3.44,0.2,0.559,0.1-0.4%
First Class,Consumer,California,West,Office Supplies,Storage,56.56,0,15.2712,0%
First Class,Consumer,California,West,Furniture,Furnishings,36.96,0,11.4576,0%
Standard Class,Corporate,New York,East,Technology,Phones,135.99,0,36.7173,0%
Standard Class,Corporate,New York,East,Office Supplies,Art,15.96,0,7.0224,0%
First Class,Corporate,Maryland,East,Office Supplies,Art,3.76,0,1.0904,0%
First Class,Corporate,Maryland,East,Office Supplies,Art,14.7,0,6.615,0%
